2026-01-05 13:29:47,497 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:29:47,501 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:29:47,518 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:29:47,518 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:29:47,518 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:29:47,530 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:29:47,532 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:29:47,534 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:29:47,548 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:29:47,548 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:29:48,832 | INFO     | utils_forex  | ✅ Telegram bot inicializado
2026-01-05 13:29:48,832 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:31:01,837 | INFO     | ml_optimizer | ✅ Histórico ML carregado: 73 trades válidos
2026-01-05 13:31:01,849 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:31:01,850 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:31:01,853 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:31:01,853 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:31:01,853 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:31:01,868 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:31:01,869 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:31:01,872 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:31:01,887 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:31:01,895 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:31:02,616 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:31:03,205 | INFO     | utils_forex  | ✅ Telegram bot inicializado
2026-01-05 13:31:03,212 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:31:07,887 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:31:13,165 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:31:18,719 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:31:24,100 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
